session_id,perfil_usuario,tipo_dispositivo,dia_semana,faixa_horaria,origem_acesso,objetivo_sessao,pageviews,tempo_busca_segundos,tempo_leitura_segundos,tempo_total_segundos,usou_busca,clicou_comunicado,clicou_link_operacional,sucesso_encontrou_o_que_queria,tipo_conteudo_principal,numero_interacoes,proporcao_tempo_leitura,abandono_rapido
90,Operacional,desktop,terca,11-14,atalho_sistema,ler_comunicado,3,7.16,146.39,161.07,0,0,0,1,News Post,3,0.9089,0
91,Tecnico,desktop,quinta,14-17,home_direta,buscar_documento,3,63.65,23.27,105.01,1,0,1,1,Document,5,0.2216,0
92,Tecnico,desktop,domingo,08-11,link_email,buscar_documento,1,17.35,11.15,35.76,0,0,1,1,Document,2,0.3118,0
93,Administrativo,desktop,sexta,08-11,atalho_sistema,buscar_documento,2,66.58,27.76,101.63,0,0,1,0,Document,3,0.2731,0
94,Pesquisador,desktop,terca,11-14,busca_interna,buscar_documento,4,52.95,12.74,76.01,1,0,0,0,Document,5,0.1676,0
95,Administrativo,desktop,quarta,11-14,atalho_sistema,buscar_sistema,3,13.64,14.38,35.32,0,0,1,1,Site Page,4,0.4071,0
96,Administrativo,desktop,quarta,11-14,atalho_sistema,buscar_documento,3,21.54,18.86,69.77,0,0,0,0,Document,3,0.2703,0
97,Tecnico,desktop,terca,06-08,home_direta,buscar_sistema,4,95.31,20.49,123.48,0,0,1,1,Site Page,5,0.1659,0
98,Pesquisador,desktop,segunda,06-08,atalho_sistema,buscar_documento,2,32.88,13.96,58.74,0,0,0,1,Document,2,0.2377,0
99,Tecnico,desktop,segunda,06-08,busca_interna,buscar_pessoa,1,40.04,19.17,69.11,1,0,0,0,Site Page,2,0.2774,0
100,Pesquisador,desktop,domingo,14-17,busca_interna,buscar_sistema,2,37.01,22.71,86.11,1,0,1,1,Site Page,4,0.2637,0
101,Administrativo,desktop,quinta,14-17,busca_interna,buscar_sistema,1,87.77,15.21,117.47,1,0,1,1,Site Page,3,0.1295,0
102,Pesquisador,mobile_web,sexta,17-20,home_direta,ler_comunicado,2,4.94,38.24,56.1,0,1,0,1,News Post,3,0.6816,0
103,Administrativo,desktop,quarta,08-11,atalho_sistema,buscar_pessoa,3,38.53,16.11,104.96,0,0,0,0,Site Page,3,0.1535,0
104,Tecnico,desktop,segunda,08-11,link_email,buscar_documento,1,19.02,24.89,53.07,0,0,1,1,Document,2,0.469,0
105,Pesquisador,desktop,quinta,08-11,busca_interna,buscar_documento,2,68.88,14.12,89.78,1,0,0,1,Document,3,0.1573,0
106,Operacional,desktop,sexta,11-14,home_direta,ler_comunicado,4,12.15,164.12,218.15,0,1,0,0,News Post,5,0.7523,0
107,Tecnico,desktop,terca,17-20,busca_interna,buscar_documento,3,48.34,68.0156718560692,151.10804633245812,1,0,1,0,Document,5,0.4501,0
108,Operacional,desktop,sabado,08-11,busca_interna,buscar_documento,3,92.35,26.26,132.26,1,0,0,1,Document,4,0.1985,0
109,Pesquisador,desktop,quinta,14-17,busca_interna,buscar_documento,4,147.86,35.66,200.55,1,0,0,1,Document,5,0.1778,0
110,Administrativo,desktop,terca,14-17,home_direta,acompanhar_noticias,5,17.32,111.94,137.23,0,1,0,1,News Post,6,0.8157,0
111,Tecnico,desktop,sexta,08-11,home_direta,acompanhar_noticias,4,28.27,37.8,81.87,0,1,0,1,News Post,5,0.4617,0
112,Tecnico,desktop,quinta,08-11,home_direta,buscar_pessoa,2,44.32,54.46,145.41,0,0,0,1,Site Page,2,0.3745,0
113,Tecnico,desktop,terca,14-17,home_direta,buscar_sistema,5,19.38,14.42,40.17,0,0,1,1,Site Page,6,0.359,0
114,Tecnico,mobile_app,sabado,11-14,atalho_sistema,buscar_sistema,1,22.81,19.62,70.47,0,0,0,1,Site Page,1,0.2784,0
115,Pesquisador,desktop,terca,06-08,atalho_sistema,buscar_documento,2,96.36,21.82,128.06,1,0,1,1,Document,4,0.1704,0
116,Administrativo,desktop,segunda,14-17,busca_interna,buscar_documento,2,68.1,31.1,107.44,1,0,0,0,Document,3,0.2895,0
117,Pesquisador,desktop,terca,08-11,atalho_sistema,buscar_documento,3,44.15,21.41,79.97,1,0,1,1,Document,5,0.2677,0
118,Operacional,desktop,quinta,20-06,atalho_sistema,acompanhar_noticias,5,6.27,65.11,75.04,0,1,0,0,News Post,6,0.8677,0
119,Tecnico,desktop,segunda,08-11,busca_interna,buscar_documento,2,74.65,32.72,122.61,1,0,0,1,Document,3,0.2669,0
120,Administrativo,desktop,segunda,17-20,link_email,buscar_pessoa,3,20.08,56.73,90.74,0,0,0,1,Site Page,3,0.6252,0
121,Tecnico,desktop,terca,08-11,atalho_sistema,buscar_sistema,7,25.66,13.88,53.75,0,0,1,1,Site Page,8,0.2582,0
122,Tecnico,desktop,quarta,14-17,home_direta,acompanhar_noticias,7,17.15,73.03,96.54,0,1,0,1,News Post,8,0.7565,0
123,Operacional,desktop,terca,20-06,home_direta,buscar_sistema,3,16.39,27.72,59.52,0,0,1,0,Site Page,4,0.4657,0
124,Administrativo,mobile_web,quinta,11-14,atalho_sistema,buscar_sistema,1,28.06,50.02,140.02,0,0,1,0,Site Page,2,0.3572,0
125,Pesquisador,desktop,segunda,14-17,busca_interna,buscar_pessoa,2,49.85,53.71,115.97,1,0,0,1,Site Page,3,0.4631,0
126,Pesquisador,desktop,sexta,06-08,home_direta,buscar_documento,5,15.93,25.1,55.81,1,0,1,0,Document,7,0.4497,0
127,Administrativo,desktop,segunda,08-11,home_direta,buscar_pessoa,2,9.15,23.28,59.46,0,0,0,0,Site Page,2,0.3915,0
128,Tecnico,desktop,quinta,08-11,link_email,acompanhar_noticias,4,6.17,55.92,74.78,0,1,0,1,News Post,5,0.7478,0
129,Pesquisador,desktop,sabado,08-11,home_direta,acompanhar_noticias,2,18.59,35.03,74.99,0,0,0,1,News Post,2,0.4671,0
130,Administrativo,desktop,terca,06-08,busca_interna,buscar_documento,2,44.14,31.72,100.81,1,0,1,0,Document,4,0.3147,0
131,Pesquisador,desktop,terca,14-17,busca_interna,buscar_documento,2,66.1,49.31,131.67,1,0,0,0,Document,3,0.3745,0
132,Tecnico,desktop,quarta,08-11,atalho_sistema,buscar_sistema,5,37.77,12.1,63.51,0,0,0,1,Site Page,5,0.1905,0
133,Tecnico,desktop,quinta,14-17,atalho_sistema,buscar_sistema,3,19.4,16.19,39.04,0,0,1,1,Site Page,4,0.4147,0
134,Pesquisador,desktop,segunda,06-08,home_direta,buscar_documento,3,52.16,22.29,95.98,1,0,1,0,Document,5,0.2322,0
135,Pesquisador,desktop,quarta,14-17,link_email,ler_comunicado,2,3.63,30.84,50.76,0,0,0,1,News Post,2,0.6076,0
136,Operacional,desktop,sexta,06-08,home_direta,acompanhar_noticias,3,14.24,33.14,48.43,0,1,0,1,News Post,4,0.6843,0
137,Administrativo,desktop,segunda,06-08,atalho_sistema,buscar_sistema,3,36.27,28.22,90.29,0,0,1,1,Site Page,4,0.3125,0
138,Operacional,desktop,quarta,08-11,busca_interna,buscar_sistema,1,69.05,23.76,98.1,1,0,1,0,Site Page,3,0.2422,0
139,Tecnico,desktop,quinta,08-11,home_direta,ler_comunicado,8,15.89,25.99,68.97,0,1,0,1,News Post,9,0.3768,0
140,Administrativo,desktop,sexta,08-11,home_direta,buscar_sistema,1,49.31,7.86,63.8,0,0,1,1,Site Page,2,0.1232,0
141,Administrativo,desktop,domingo,08-11,home_direta,ler_comunicado,1,8.44,81.23,94.57,0,1,0,1,News Post,2,0.8589,0
142,Administrativo,desktop,sabado,06-08,home_direta,acompanhar_noticias,7,9.21,26.67,50.75,0,0,0,1,News Post,7,0.5255,0
143,Tecnico,desktop,quarta,08-11,home_direta,buscar_documento,3,32.69,24.92,105.88,1,0,1,1,Document,5,0.2354,0
144,Operacional,desktop,quinta,11-14,home_direta,acompanhar_noticias,2,6.97,63.58,89.32,0,1,0,0,News Post,3,0.7118,0
145,Pesquisador,desktop,segunda,14-17,atalho_sistema,buscar_documento,5,14.93,16.57,39.58,0,0,1,1,Document,6,0.4186,0
146,Tecnico,desktop,domingo,08-11,link_email,acompanhar_noticias,4,23.7,68.6,137.78,0,1,0,1,News Post,5,0.4979,0
147,Pesquisador,desktop,terca,14-17,home_direta,buscar_documento,4,21.51,37.9,78.82,0,0,1,1,Document,5,0.4808,0
148,Tecnico,desktop,quinta,14-17,link_email,acompanhar_noticias,3,10.03,39.29,63.79,0,1,0,1,News Post,4,0.6159,0
149,Operacional,desktop,terca,06-08,link_email,ler_comunicado,1,7.7,30.44,45.05,0,1,0,1,News Post,2,0.6757,0
150,Tecnico,desktop,quarta,17-20,link_email,buscar_sistema,5,24.68,44.8,120.57,0,0,1,1,Site Page,6,0.3716,0
151,Tecnico,desktop,quinta,14-17,busca_interna,buscar_pessoa,1,26.85,15.75,67.4,1,0,0,1,Site Page,2,0.2337,0
152,Pesquisador,desktop,segunda,14-17,home_direta,buscar_documento,2,38.68,14.58,60.89,0,0,1,1,Document,3,0.2394,0
153,Operacional,desktop,sexta,17-20,atalho_sistema,ler_comunicado,4,7.13,161.18,193.68,0,1,0,1,News Post,5,0.8322,0
154,Tecnico,desktop,domingo,14-17,link_email,acompanhar_noticias,3,13.54,50.65,77.7,0,1,0,1,News Post,4,0.6519,0
155,Administrativo,desktop,sexta,08-11,atalho_sistema,buscar_pessoa,3,100.58,56.46,164.09,1,0,0,0,Site Page,4,0.3441,0
156,Administrativo,desktop,quarta,14-17,atalho_sistema,buscar_sistema,1,19.52,25.14,50.1,0,0,1,0,Site Page,2,0.5018,0
157,Pesquisador,desktop,terca,06-08,busca_interna,buscar_documento,3,73.4,23.93,144.25,1,0,1,0,Document,5,0.1659,0
158,Tecnico,desktop,domingo,08-11,link_email,buscar_documento,1,29.89,38.89,75.82,0,0,1,1,Document,2,0.5129,0
159,Administrativo,desktop,terca,11-14,atalho_sistema,acompanhar_noticias,6,7.61,33.85,80.58,0,1,0,1,News Post,7,0.4201,0
160,Operacional,desktop,sexta,20-06,atalho_sistema,acompanhar_noticias,3,10.46,117.8,148.22,0,1,0,1,News Post,4,0.7948,0
161,Tecnico,desktop,quarta,11-14,busca_interna,buscar_documento,4,34.49,85.95,123.1,1,0,0,0,Document,5,0.6982,0
162,Pesquisador,desktop,sexta,08-11,busca_interna,ler_comunicado,2,21.33,51.22,92.93,1,1,0,1,News Post,4,0.5512,0
163,Operacional,mobile_app,quinta,20-06,home_direta,acompanhar_noticias,2,13.66,55.23,76.63,0,1,0,1,News Post,3,0.7207,0
164,Pesquisador,desktop,quinta,08-11,atalho_sistema,buscar_sistema,1,34.7,31.29,77.29,0,0,1,1,Site Page,2,0.4048,0
165,Pesquisador,desktop,sexta,14-17,busca_interna,buscar_documento,2,35.99,9.58,49.28,1,0,1,0,Document,4,0.1944,0
166,Operacional,desktop,terca,14-17,atalho_sistema,buscar_sistema,2,10.17,9.82,33.66,0,0,1,1,Site Page,3,0.2917,1
167,Pesquisador,desktop,terca,17-20,busca_interna,buscar_sistema,3,49.2,42.65,103.91,1,0,1,1,Site Page,5,0.4105,0
168,Tecnico,desktop,terca,14-17,home_direta,buscar_documento,4,125.35,45.71,193.6,1,0,0,1,Document,5,0.2361,0
169,Operacional,desktop,terca,08-11,home_direta,buscar_sistema,2,14.59,11.25,47.5,0,0,1,0,Site Page,3,0.2368,0
170,Administrativo,desktop,terca,14-17,home_direta,buscar_pessoa,5,29.03,17.13,61.99,1,0,0,0,Site Page,6,0.2763,0
171,Pesquisador,desktop,quinta,17-20,busca_interna,buscar_documento,3,163.63,158.53,342.8,1,0,1,0,Document,5,0.4625,0
172,Tecnico,desktop,sabado,11-14,atalho_sistema,buscar_pessoa,2,49.37,31.93,104.4,1,0,0,1,Site Page,3,0.3058,0
173,Operacional,desktop,quarta,08-11,link_email,buscar_documento,1,25.59,17.43,67.82,1,0,1,0,Document,3,0.257,0
174,Pesquisador,desktop,quinta,14-17,atalho_sistema,buscar_documento,2,33.71,12.55,51.64,0,0,1,1,Document,3,0.243,0
175,Tecnico,desktop,quinta,11-14,atalho_sistema,acompanhar_noticias,3,6.6,24.25,33.83,0,1,0,1,News Post,4,0.7168,0
176,Pesquisador,desktop,terca,08-11,atalho_sistema,buscar_sistema,5,48.93,16.85,81.98,0,0,1,1,Site Page,6,0.2055,0
177,Administrativo,mobile_web,segunda,08-11,atalho_sistema,buscar_sistema,4,16.82,14.51,33.53,0,0,1,1,Site Page,5,0.4327,0
178,Operacional,desktop,segunda,06-08,busca_interna,buscar_pessoa,1,50.89,66.96,150.37,1,0,0,1,Site Page,2,0.4453,0
179,Pesquisador,desktop,terca,11-14,atalho_sistema,buscar_sistema,4,33.27,30.09,81.16,0,0,1,1,Site Page,5,0.3707,0
180,Administrativo,desktop,quinta,08-11,atalho_sistema,buscar_documento,3,28.43,21.29,61.33,1,0,0,0,Document,4,0.3471,0
181,Operacional,desktop,terca,08-11,home_direta,acompanhar_noticias,4,13.81,41.74,62.32,0,1,0,1,News Post,5,0.6698,0
182,Pesquisador,desktop,quinta,11-14,home_direta,buscar_sistema,6,16.81,41.33,82.89,0,0,0,1,Site Page,6,0.4986,0
183,Administrativo,desktop,quinta,11-14,busca_interna,buscar_sistema,4,39.13,68.83,154.27,1,0,0,1,Site Page,5,0.4462,0
184,Operacional,desktop,quarta,06-08,link_email,ler_comunicado,4,5.79,36.93,66.34,0,1,0,1,News Post,5,0.5567,0
185,Pesquisador,desktop,quinta,17-20,link_email,buscar_pessoa,1,57.67,9.06,67.92,1,0,0,0,Site Page,2,0.1334,0
186,Tecnico,desktop,sabado,17-20,busca_interna,buscar_sistema,3,73.19,27.25,174.48,1,0,1,0,Site Page,5,0.1562,0
187,Tecnico,desktop,sexta,14-17,atalho_sistema,buscar_sistema,3,26.13,69.88,106.65,0,0,1,1,Site Page,4,0.6552,0
188,Pesquisador,desktop,quinta,08-11,busca_interna,buscar_documento,3,74.49,8.34,84.65,1,0,1,0,Document,5,0.0985,0
189,Tecnico,desktop,quarta,08-11,link_email,acompanhar_noticias,2,7.62,37.61,50.7,0,1,0,0,News Post,3,0.7418,0
190,Pesquisador,desktop,quarta,06-08,home_direta,buscar_pessoa,3,35.15,51.76,101.66,0,0,0,0,Site Page,3,0.5091,0
191,Administrativo,desktop,sexta,08-11,atalho_sistema,buscar_sistema,1,22.8,37.96,79.91,0,0,1,1,Site Page,2,0.475,0
192,Pesquisador,desktop,sexta,08-11,link_email,acompanhar_noticias,3,12.19,33.43,46.68,0,1,0,1,News Post,4,0.7162,0
193,Tecnico,desktop,terca,11-14,home_direta,buscar_sistema,2,31.59,58.76,112.37,0,0,0,1,Site Page,2,0.5229,0
194,Pesquisador,desktop,quinta,14-17,home_direta,buscar_documento,7,37.92,72.64,121.77,0,0,0,1,Document,7,0.5965,0
195,Administrativo,desktop,terca,08-11,busca_interna,acompanhar_noticias,4,19.07,80.23,104.23,1,1,0,1,News Post,6,0.7697,0
196,Administrativo,desktop,terca,11-14,atalho_sistema,buscar_sistema,5,40.09,13.88,88.29,0,0,1,1,Site Page,6,0.1572,0
197,Pesquisador,desktop,sexta,08-11,home_direta,ler_comunicado,8,6.42,69.49,105.19,0,1,0,0,News Post,9,0.6606,0
